Game,Platform,Region,Downloads,Revenue,Esports Participation,Avg. Weekly Hours
PUBG Mobile,Mobile,Indonesia,151544,436513,94,4.5
Call of Duty: Mobile,Mobile,Indonesia,64309,214429,67,4.2
Clash of Clans,Mobile,Indonesia,130749,387778,38,4.7
Genshin Impact,Mobile,Indonesia,96957,479514,44,6.7
Mobile Legends,Mobile,Indonesia,147688,314295,94,5.9
Free Fire,Mobile,Indonesia,153678,429332,43,6.7
Pokemon GO,Mobile,Indonesia,126455,479707,78,6.8
Brawl Stars,Mobile,Indonesia,141076,229761,89,8.8
Fortnite,PC,Indonesia,144287,289323,93,5.6
League of Legends,PC,Indonesia,60944,152868,61,6.6
Minecraft,PC,Indonesia,157268,268410,59,8.3
Valorant,PC,Indonesia,84857,276258,93,5.3
CS,PC,Indonesia,167216,119945,37,8.6
World of Warcraft,PC,Indonesia,193351,465680,37,8.9
Dota 2,PC,Indonesia,56681,444321,50,3.6
Cyberpunk 2077,PC,Indonesia,170912,273667,64,7.2
FIFA 22,Console,Indonesia,197926,104101,82,7.2
Assassin's Creed,Console,Indonesia,87974,112284,51,8.7
Apex Legends,Console,Indonesia,189506,283462,97,6.9
Rocket League,Console,Indonesia,144521,300523,86,7.3
Overwatch,Console,Indonesia,80881,415165,68,5
Hearthstone,Console,Indonesia,178982,100522,63,8.2
Diablo Immortal,Console,Indonesia,125751,383616,68,6.9
Rainbow Six Siege,Console,Indonesia,104369,398215,68,5.1
PUBG Mobile,Mobile,Malaysia,56658,327519,67,5.8
Call of Duty: Mobile,Mobile,Malaysia,149111,229631,70,3.4
Clash of Clans,Mobile,Malaysia,140496,135523,93,7.3
Genshin Impact,Mobile,Malaysia,72065,397803,56,3.5
Mobile Legends,Mobile,Malaysia,139493,316042,57,5.8
Free Fire,Mobile,Malaysia,83962,436717,81,7.5
Pokemon GO,Mobile,Malaysia,52298,282930,79,7.8
Brawl Stars,Mobile,Malaysia,107506,153078,50,5.4
Fortnite,PC,Malaysia,133807,371914,64,3.7
League of Legends,PC,Malaysia,136523,135877,74,7
Minecraft,PC,Malaysia,138177,373695,96,8
Valorant,PC,Malaysia,84760,292811,62,3.1
CS,PC,Malaysia,160998,102549,85,6.2
World of Warcraft,PC,Malaysia,88683,261114,82,3
Dota 2,PC,Malaysia,88266,493977,39,5.1
Cyberpunk 2077,PC,Malaysia,161461,488673,61,7.2
FIFA 22,Console,Malaysia,88237,243415,45,4.3
Assassin's Creed,Console,Malaysia,199337,365348,44,4.3
Apex Legends,Console,Malaysia,90503,383332,84,4.5
Rocket League,Console,Malaysia,145776,482211,69,6
Overwatch,Console,Malaysia,63202,151674,61,8.2
Hearthstone,Console,Malaysia,177380,447521,30,7.9
Diablo Immortal,Console,Malaysia,136573,130783,33,6.5
Rainbow Six Siege,Console,Malaysia,184239,107786,35,7.8
PUBG Mobile,Mobile,Philippines,77764,323499,45,8
Call of Duty: Mobile,Mobile,Philippines,95419,102663,74,4.3
Clash of Clans,Mobile,Philippines,96841,239901,50,8.5
Genshin Impact,Mobile,Philippines,51599,114221,93,7.3
Mobile Legends,Mobile,Philippines,62891,333910,88,3.3
Free Fire,Mobile,Philippines,109798,417730,93,7.4
Pokemon GO,Mobile,Philippines,81303,309466,31,7.2
Brawl Stars,Mobile,Philippines,98165,110227,57,8.3
Fortnite,PC,Philippines,136881,471053,56,8.5
League of Legends,PC,Philippines,180573,317351,59,3.1
Minecraft,PC,Philippines,152541,168481,33,3.4
Valorant,PC,Philippines,138006,226855,94,4.3
CS,PC,Philippines,139253,463190,83,4.5
World of Warcraft,PC,Philippines,139397,207860,49,7.1
Dota 2,PC,Philippines,171085,418723,86,4.8
Cyberpunk 2077,PC,Philippines,79484,147849,42,4.2
FIFA 22,Console,Philippines,158379,134709,43,6.9
Assassin's Creed,Console,Philippines,152706,312683,84,5.7
Apex Legends,Console,Philippines,106585,335167,41,5.2
Rocket League,Console,Philippines,60128,312043,79,6.8
Overwatch,Console,Philippines,149394,290529,55,5.1
Hearthstone,Console,Philippines,67834,296787,83,7
Diablo Immortal,Console,Philippines,120918,274645,34,7.5
Rainbow Six Siege,Console,Philippines,148297,206576,80,4.2
PUBG Mobile,Mobile,Singapore,152596,285117,78,8.1
Call of Duty: Mobile,Mobile,Singapore,151529,252454,77,5.2
Clash of Clans,Mobile,Singapore,161596,315771,65,4.4
Genshin Impact,Mobile,Singapore,123184,267336,80,4.6
Mobile Legends,Mobile,Singapore,96529,150303,33,6.4
Free Fire,Mobile,Singapore,186147,120545,67,4.7
Pokemon GO,Mobile,Singapore,58899,275172,87,4.2
Brawl Stars,Mobile,Singapore,76840,409837,76,7.5
Fortnite,PC,Singapore,81257,123941,66,3.7
League of Legends,PC,Singapore,144582,196451,57,8.6
Minecraft,PC,Singapore,178069,477116,50,7.6
Valorant,PC,Singapore,94869,101293,60,5.9
CS,PC,Singapore,114756,489347,82,7.7
World of Warcraft,PC,Singapore,116932,395647,95,5.1
Dota 2,PC,Singapore,189113,433834,36,4.8
Cyberpunk 2077,PC,Singapore,71429,234605,68,8.3
FIFA 22,Console,Singapore,127663,184380,98,3.1
Assassin's Creed,Console,Singapore,180263,302107,89,4.3
Apex Legends,Console,Singapore,55678,397982,100,9
Rocket League,Console,Singapore,147716,477629,78,4.2
Overwatch,Console,Singapore,102496,419540,35,6.9
Hearthstone,Console,Singapore,185208,216262,78,8.7
Diablo Immortal,Console,Singapore,60293,411610,41,7
Rainbow Six Siege,Console,Singapore,124032,429476,94,8.9
PUBG Mobile,Mobile,Thailand,78724,141113,37,6.6
Call of Duty: Mobile,Mobile,Thailand,87335,194955,72,5.1
Clash of Clans,Mobile,Thailand,199751,196962,80,7
Genshin Impact,Mobile,Thailand,107400,475205,71,5.7
Mobile Legends,Mobile,Thailand,163690,393248,72,3.6
Free Fire,Mobile,Thailand,113162,470994,51,3.7
Pokemon GO,Mobile,Thailand,97818,309458,45,8.6
Brawl Stars,Mobile,Thailand,151997,336632,42,4.5
Fortnite,PC,Thailand,141798,202980,90,7.7
League of Legends,PC,Thailand,130115,437948,39,7.4
